Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: ROOM1:Zone Air Temperature [C](Hourly),THERMAL ZONE: ROOM2:Zone Air Temperature [C](Hourly) 
 07/21  21:00:00,14.108333333333334,26.749741297897717,24.85399307580235 
 07/21  22:00:00,13.549999999999999,25.55763525472106,24.15997985334683 
 07/21  23:00:00,13.183333333333332,23.556959463642674,22.54850869449385 
 07/21  24:00:00,13.041666666666666,22.19619530600116,21.43253402401832 
 07/22  01:00:00,12.883333333333333,21.213920514777772,20.59660013343228 
 07/22  02:00:00,12.450000000000001,20.29183516466554,19.775834619348846 
 07/22  03:00:00,11.908333333333331,19.391838365526628,18.9492915963292 
 07/22  04:00:00,11.35,18.526646075930625,18.139161919964877 
 07/22  05:00:00,11.625,17.824512534207283,17.4805229958997 
 07/22  06:00:00,12.583333333333334,17.565716724186625,17.536023498542153 
 07/22  07:00:00,13.525,18.321980109629667,19.646907203787144 
 07/22  08:00:00,14.775,18.89470241156698,21.990180454140418 
 07/22  09:00:00,16.216666666666665,19.59237612765818,24.021823803261814 
 07/22  10:00:00,17.675,20.657360218196825,25.68823372703406 
 07/22  11:00:00,19.466666666666665,22.006064375996527,26.911937885899373 
 07/22  12:00:00,21.525000000000002,23.516117240361627,27.639360961042218 
 07/22  13:00:00,23.566666666666663,25.03357577775414,28.14430021044275 
 07/22  14:00:00,23.758333333333336,26.659303898194157,28.71032022763471 
 07/22  15:00:00,22.65833333333333,28.310400238187942,29.012604792059545 
 07/22  16:00:00,21.558333333333334,29.858914371663733,29.08484885228245 
 07/22  17:00:00,20.34166666666667,31.05382097535029,28.936135795007157 
 07/22  18:00:00,19.041666666666668,31.72330558375639,28.75179327104813 
 07/22  19:00:00,17.74166666666667,31.651570568336126,28.51730483446083 
 07/22  20:00:00,16.791666666666668,30.520352835076036,28.00675558268908 
 07/22  21:00:00,16.033333333333335,29.07764560991465,27.31828964692441 
 07/22  22:00:00,15.291666666666666,27.805698293512204,26.56362013086918 
 07/22  23:00:00,14.766666666666666,25.760537621442584,24.875200953377057 
 07/22  24:00:00,14.424999999999999,24.346667609207888,23.68819077490653 
 07/23  01:00:00,14.066666666666668,23.312000528066132,22.790561811967592 
 07/23  02:00:00,13.9,22.412483052072073,21.985642007829785 
 07/23  03:00:00,13.9,21.639072793073407,21.279257800941043 
 07/23  04:00:00,13.9,20.94606212568692,20.635580036568292 
 07/23  05:00:00,14.016666666666666,20.326625486915834,20.053760612302153 
 07/23  06:00:00,14.158333333333333,19.87643919362933,19.75700930726986 
 07/23  07:00:00,14.316666666666665,20.449686692058425,21.063574255468968 
 07/23  08:00:00,15.158333333333333,20.918798160460714,22.612339096136864 
 07/23  09:00:00,16.458333333333332,21.464786735192874,24.124390691655464 
 07/23  10:00:00,17.758333333333333,22.295359150526853,25.79882263861657 
 07/23  11:00:00,18.941666666666666,23.401591712159444,27.154933223456315 
 07/23  12:00:00,20.099999999999998,24.587476208210017,27.822641992973256 
 07/23  13:00:00,21.241666666666667,25.72765654718373,28.13360589710321 
 07/23  14:00:00,21.349999999999998,26.97389597603956,28.489454204814297 
 07/23  15:00:00,20.808333333333337,28.44186327104032,28.741695497986058 
 07/23  16:00:00,20.25,29.89374844976435,28.80174489024591 
 07/23  17:00:00,19.358333333333334,30.972029679940835,28.637198647340597 
 07/23  18:00:00,18.258333333333333,31.596476210182676,28.409348687557017 
 07/23  19:00:00,17.158333333333335,31.519967085080665,28.129093317498416 
 07/23  20:00:00,16.233333333333334,30.23369605492618,27.542258800363808 
 07/23  21:00:00,15.491666666666667,28.60904350354628,26.748263544656066 
 07/23  22:00:00,14.733333333333334,27.37615744732685,25.99281884937236 
 07/23  23:00:00,14.166666666666666,25.244855331023363,24.243430942028 
 07/23  24:00:00,13.825000000000001,23.753591848904307,22.99572001803261 
 07/24  01:00:00,13.466666666666667,22.668694038174547,22.05521614907144 
 07/24  02:00:00,13.066666666666668,21.67981642104624,21.168681079031753 
 07/24  03:00:00,12.725,20.781789883201753,20.345894687412056 
 07/24  04:00:00,12.366666666666667,19.944454066336004,19.56538332265133 
 07/24  05:00:00,12.316666666666665,19.208870450502662,18.874342505119497 
 07/24  06:00:00,12.516666666666666,18.670244032284526,18.40303222043085 
 07/24  07:00:00,12.716666666666667,19.0705132678645,18.903067041310432 
 07/24  08:00:00,13.791666666666666,19.5590352119842,20.21280056635813 
 07/24  09:00:00,15.433333333333337,20.236013054822198,22.405696166038116 
 07/24  10:00:00,17.09166666666667,21.15320784200108,24.510693715612963 
 07/24  11:00:00,18.441666666666666,22.341754704677385,26.023979044076295 
 07/24  12:00:00,19.541666666666668,23.598342031485192,26.78136791521551 
 07/24  13:00:00,20.641666666666666,24.82464233756994,27.16772625148433 
 07/24  14:00:00,20.691666666666666,26.183692338129887,27.605550436347837 
 07/24  15:00:00,19.933333333333334,27.674909381646334,27.85232465485564 
 07/24  16:00:00,19.191666666666666,29.087764807650387,27.873779905415763 
 07/24  17:00:00,18.141666666666666,30.164940416860617,27.672996612291815 
 07/24  18:00:00,16.84166666666667,30.704955853752523,27.40101624411651 
 07/24  19:00:00,15.541666666666666,30.531737342413205,27.077120741452813 
 07/24  20:00:00,14.591666666666669,29.212870228110603,26.467392597238916 
 07/24  21:00:00,13.833333333333334,27.574822804263196,25.657621278363493 
 07/24  22:00:00,13.091666666666669,26.314865861410464,24.876228555715375 
 07/24  23:00:00,12.799999999999999,24.171361866368553,23.11942703032847 
 07/24  24:00:00,12.799999999999999,22.746123596560796,21.941048044328312 
 07/25  01:00:00,12.799999999999999,21.733244913198035,21.079265237665798 
 07/25  02:00:00,12.683333333333332,20.833823793394277,20.286018118068743 
 07/25  03:00:00,12.483333333333334,19.997366539428388,19.52714226527786 
 07/25  04:00:00,12.283333333333333,19.220192312103453,18.808854717562138 
 07/25  05:00:00,12.608333333333334,18.583108632359444,18.218651956034503 
 07/25  06:00:00,13.366666666666667,18.306270655900722,18.276253812047333 
 07/25  07:00:00,14.108333333333334,19.038421731314482,20.40698564144488 
 07/25  08:00:00,15.275,19.567895614266376,22.694827292640298 
 07/25  09:00:00,16.775000000000002,20.247909896516592,24.663060521386456 
 07/25  10:00:00,18.275000000000002,21.279733035898392,26.299547078701504 
 07/25  11:00:00,19.658333333333335,22.55865806011721,27.460404731299857 
 07/25  12:00:00,20.958333333333332,23.923177103128527,28.04520921009662 
 07/25  13:00:00,22.258333333333336,25.256413233793765,28.34822856236077 
 07/25  14:00:00,22.275000000000002,26.697749222899635,28.727975248184606 
